날짜,제목,글쓴이,조회,공감,비공감
2022.06.28 14:04,"역시 모간이다 ㅋㅋ
				[1]",nido****,119,1,0
2022.06.28 14:04,ㅋㅋㅋㅋ 졸라 웃기네,phoe****,86,1,0
2022.06.28 14:04,이런,kdh2****,74,1,0
2022.06.28 14:04,"한놈이
				[1]",bed7****,124,0,1
2022.06.28 14:03,이새기 시총 1000억짜리에서 구글어찌고...,thie****,110,1,0
2022.06.28 14:03,물리신,woog****,84,0,0
2022.06.28 14:03,뭐냐 이거 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,jinw****,100,0,0
2022.06.28 14:03,ㅋㅋㅋㅋㅋ 무빙 지린다,park****,88,0,0
2022.06.28 14:03,구길이 여전하네,ljun****,87,0,0
2022.06.28 14:03,"구글인듯..대박
				[1]",hsus****,133,1,1
2022.06.28 14:03,멋쟁이네. ㅋㅋ,k3d3****,87,0,0
2022.06.28 14:03,이야~~공매치는거봐라,choi****,97,0,0
2022.06.28 14:03,아고,sju7****,81,0,0
2022.06.28 14:03,정말,shin****,87,0,0
2022.06.28 14:02,정보알고 선취매한넘들 털었네,9560****,90,0,0
2022.06.28 14:02,처음 글씁니다.,eho1****,106,1,0
2022.06.28 14:02,ㅋㅋㄱㅋㄱㅋㄱㄱㄱㅋ,sqae****,79,0,0
2022.06.28 14:02,지렸다 -7퍼다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ...,w741****,115,0,0
2022.06.28 14:02,"??????????????????????...
				[2]",park****,111,0,0
2022.06.28 14:02,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,thie****,97,0,0
2022.06.28 14:01,아무 뉴스도 아니다. 튀라.,k3d3****,89,1,0
2022.06.28 14:01,어차피 종가는보합일걸..,sqae****,72,1,0
2022.06.28 14:00,드뎌 구글 돌아온건가?,kkan****,86,0,0
2022.06.28 14:00,"파이낸셜 - 김경아 답은 알지?
				[2]",thie****,129,1,1
2022.06.28 13:58,혹시나했다,choi****,108,0,0
2022.06.28 13:57,또 발광하네~~,shle****,95,0,0
2022.06.28 13:56,주포,aa97****,83,0,0
2022.06.28 13:32,"붉은색 푸른색~
				[1]",sach****,137,1,2
2022.06.28 12:06,"와 이리 좋노
				[1]",them****,128,0,3
2022.06.28 10:41,오늘은 파란불이야 걱정마,dbdl****,146,5,5
2022.06.28 10:30,"언제까지 오르기만 바라냐 ㅋㅋ
				[1]",dbdl****,162,4,5
2022.06.28 10:07,"시원하게
				[1]",them****,144,3,5
2022.06.28 09:07,속지마,sung****,155,3,4
2022.06.28 09:04,엠바고라 했냐 안했냐,afte****,130,2,8
2022.06.28 08:35,"비나이다^^  비나이다~~
				[1]",them****,165,3,5
2022.06.28 04:09,.....,lgw9****,258,8,3
2022.06.27 22:36,국일제지주주여 대호재..참조,kkkk****,287,0,3
2022.06.27 21:40,어찌 이리됐노.. 마이너스 돌려받으러 간...,gera****,146,0,3
2022.06.27 18:12,"새로이형  아직도 저가 매수 기회인거야?
				[3]",dask****,428,10,4
2022.06.27 17:37,국일제지주주여 내일 상한가 왜?,aaaa****,248,0,3
2022.06.27 16:19,금리 이정도 올려서는 안된다,them****,164,3,6
2022.06.27 15:06,ㅎㅎㅎ,smk7****,178,3,3
2022.06.27 14:59,JP모건 보소?ㅋㅋㅋㅋ,pys2****,223,3,2
2022.06.27 13:42,아직도,kghk****,240,5,4
2022.06.27 13:22,"쿤!
				[2]",imki****,245,2,9
2022.06.27 13:09,아직 찬티가 많은거보니 바닥은 아니군,pys2****,182,5,5
2022.06.27 13:04,"무슨일인지 말할순 없지만
				[2]",best****,380,2,11
2022.06.27 13:02,왜 멈추었지?,heon****,157,0,4
2022.06.27 12:11,"국일제지주주여 상한가 왜?
				[1]",aaaa****,201,0,4
2022.06.27 08:44,엠바고라 했냐 안했냐,afte****,260,4,9
2022.06.27 08:16,3년을 당하면서도 희망을 갖다니,dbdl****,269,11,7
2022.06.27 08:09,"Koon형~꼭 보세요!!
				[1]",drun****,369,9,6
2022.06.27 06:14,"오늘부터 다시 골파기
				[1]",dbdl****,259,3,8
