날짜,제목,글쓴이,조회,공감,비공감
2022.05.06 09:49,"♥♥고악한색히네ㅡㅡㅡㅡㅡ
				[1]",ehdu****,360,4,1
2022.05.03 23:28,"♥♥단회장~!!!**
				[2]",ehdu****,623,10,1
2022.05.04 09:27,"♥♥단회장~!!!**
				[3]",8912****,397,5,2
2022.05.03 09:11,♥♥기분이다.~!!!!!+++++,ehdu****,287,1,1
2022.05.02 09:34,"※※거래소.재미없는종목1위~!!!!!++...
				[1]",ehdu****,428,4,0
2022.04.29 12:50,"다음주 부터 날라가나요?
				[1]",ydpj****,933,4,2
2022.04.28 15:27,이?히는,colo****,229,5,0
2022.04.28 12:42,"해성산업 2015년 차트 궁금해요
				[1]",sh_l****,552,0,0
2022.04.28 09:30,[삭제된 게시물의 답글]오스템 임플란트 ...,hjwj****,170,0,0
2022.04.28 09:25,[삭제된 게시물의 답글]회령액중 178억...,8912****,258,0,0
2022.04.27 00:41,종이값 오른다 담자,witt****,203,0,0
2022.04.26 23:32,"**단재완회장님~!!!**
				[1]",ehdu****,255,4,0
2022.04.26 12:43,"배당금내놔
				[1]",hopa****,345,1,0
2022.04.26 10:28,단씨,colo****,240,3,0
2022.04.26 09:45,■■해성산업은...,ehdu****,345,1,0
2022.04.26 09:14,♥♥회장님 하는짓이...,ehdu****,231,4,0
2022.04.25 14:28,"요즘 기타법인 매수 많은데 멀까
				[2]",inja****,549,1,1
2022.04.22 15:00,"올해 배당금은 없는건가요 ?!
				[3]",cazu****,894,0,0
2022.04.22 13:20,"♥♥평단가18000입니다.
				[5]",ehdu****,807,5,1
2022.04.22 11:10,왕찌 눌림 손바뀜 갭,rcu3****,334,2,0
2022.04.22 07:50,해성산업회사 자산 동산 부동산 재평가,h126****,382,1,1
2022.04.21 20:03,"서울요지 빌딩, 부동산. 해성산업
				[2]",herm****,628,8,1
2022.04.21 18:28,"해성산업 보유~
				[2]",obal****,528,5,1
2022.04.21 18:18,"뭐 이런회사가 다 있어? 유보율이 8천억...
				[1]",land****,597,5,0
2022.04.21 14:58,¿¿¿,kkjh****,279,1,0
2022.04.21 15:16,¿¿¿,8912****,227,2,0
2022.04.21 18:35,¿¿¿,kkkk****,129,0,0
2022.04.21 13:10,와진짜 너무 나댄다,chak****,324,1,2
2022.04.21 10:39,해성디 한국팩키지 한국제지 계양전기 세하,h126****,444,5,2
2022.04.21 08:03,2015년 8만원까지 상승 실적 자산,h126****,434,2,2
2022.04.20 15:27,7년을,powe****,431,5,0
2022.04.20 11:13,"해성디에스 1조 2000억, 해성산업 2...",herm****,639,1,1
2022.04.19 17:15,"해성디에스는 가도 계양전기,세하,한국팩키...",opti****,395,2,1
2022.04.19 15:35,이 씌부렐 이회사 해성디에스 지주사 아니...,egmo****,266,1,0
2022.04.19 14:54,"배당금내놔
				[1]",hopa****,310,1,0
2022.04.19 14:31,해성디에스 반만이라도ㅜㅜ,hjwj****,145,0,0
2022.04.19 11:41,"**아,ㄸㅣ바ㅡㅡㅡㅡ
				[1]",ehdu****,297,0,0
