날짜,제목,글쓴이,조회,공감,비공감
2022.06.28 16:19,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,dafu****,223,0,2
2022.06.28 16:12,"역시 멋있는 종목이구나~~  어려운 장에 하방 지지하면서 상승하는 것 보니, 비록 쬐금 올랐지만",yhyp****,272,4,5
2022.06.28 16:11,외국인 기관 연기금 다쓸어담네,icon****,255,4,0
2022.06.28 15:51,인간적으로..,kais****,279,5,0
2022.06.28 13:18,추키차백신 관심주로,lys8****,205,0,0
2022.06.28 12:16,언능 내려와야 사는데,alst****,229,2,2
2022.06.28 11:43,힘좀 내자 ,alai****,256,12,0
2022.06.28 10:56,얘를 살바엔 코스모신소재나 skc를 사,qkrg****,481,5,4
2022.06.27 23:10,2차전지 외인 및 기관 각 천억원대 매수,wltm****,454,3,4
2022.06.27 22:56,ㅋㅋㅋㅋ 지역 차별 이야기가 나오니,zeni****,248,2,0
2022.06.27 21:53,작은 나라에서 지역차별하면 좋습니까? ,jeen****,221,20,1
2022.06.27 21:36,윤통덕에 2일 연속 급등,fuel****,294,5,10
2022.06.27 19:27,진짜 쳐안오르네,doyo****,177,3,0
2022.06.27 18:55,근데 지금 가격이면 처사라,zeni****,324,2,1
2022.06.27 18:22,하 계속 전라도니 마니 하는데,zeni****,201,1,4
2022.06.27 18:17,오늘 주가는 전라도가 다했다,roya****,242,0,6
2022.06.27 17:50,에코,smj7****,175,0,0
2022.06.27 16:14,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,dafu****,487,3,0
2022.06.27 17:59,시간외 폭등중이네 ㄷㄷㄷ ??,prah****,360,2,0
2022.06.27 15:10,이ㅅㅂ 개잡주는,dalr****,458,15,2
2022.06.27 15:05,정말 가관이네요,kps2****,563,17,2
2022.06.27 14:14,100주 남기고 다 팔았다.. ,cyk1****,527,12,2
2022.06.27 11:23,118.500원,deck****,487,2,2
2022.06.27 10:30,팔아라,cybe****,617,2,6
2022.06.27 10:29,일진머티리얼즈 인수 ,pmg7****,663,0,1
2022.06.27 10:14,시장에서 신용을 잃은 종목이라 절대 못감,roya****,759,6,18
2022.06.27 10:03,포스코케미칼!!,egkj****,481,7,3
2022.06.27 10:02,15만 능선만 뚫으면 30만은 기본이다 ♥,dafu****,533,4,5
2022.06.27 07:53,사측은,dudw****,725,1,3
2022.06.27 06:00,국내 증시 금주 예상 News vs 전주 미장 현황,netp****,562,9,3
2022.06.27 03:38,악화된 영업 현금흐름,rara****,439,2,1
2022.06.26 18:05,낼도 빠진단다.,sayk****,486,2,4
2022.06.26 17:40,■가솔린 종말은 에코캡 전기차 폭발이다  ■에코캡 본게임은 시작도 안했다.장기투자하기 아주 좋은 기업    전기차 가지고 있는 사람이 거의 없는,skyp****,257,0,1
2022.06.26 13:26,무서워 하지마,sinw****,326,1,1
2022.06.26 10:45,포스코케미칼 기술적분석 ,do53****,301,0,0
2022.06.26 01:21,에코캡은 전기차 와이어링하네스 국내1위 국내 유일 독과점 기업이다.   전기차에는 배터리충전라인 전기모터라인 자율주행 반도체라인에 엄청난 양의,dfke****,476,0,4
2022.06.26 01:19,▲차트를 뒤로 돌려바라 에코캡의 무서움을 당신들이 모르는구나.  ▲한번 불 붙었다 하면 에코캡 따상 갔던 종목이다.  ▲상한가 상한가 상한가 또,skyp****,265,0,1
2022.06.25 17:50,"성폭행, 성희롱 몇십명이 여직원 한명에게 악질적으로 쓰레기짓을 한것도 한거지만",jung****,381,3,9
2022.06.25 15:23,"""하루 결근 2천만원 물어내"" '노예 PC방' 업주 징역 7년",roya****,341,8,7
2022.06.25 14:09,이 놈의 종목은 코스피 지수 2.26% 보다 낮은 2.23% 상승하는 것 보니,yhyp****,391,6,0
2022.06.25 14:05,전남,pure****,236,2,2
2022.06.25 13:41,전라도 일가족 실종 문재인 7시간 행보..,roya****,446,9,13
2022.06.25 12:59,전라도 신지도,kisa****,336,10,8
2022.06.25 12:04,오늘은 어떤날이냐,kisa****,317,6,8
2022.06.25 10:12,맷집좋다며 때리고 기절시켰다… 극단선택 내몬 학폭 악마들,roya****,332,3,4
2022.06.25 09:12,포스코케미칼,park****,352,2,2
2022.06.25 08:49,실종기사가 나왔는데,roya****,364,3,5
2022.06.25 00:40,"포스코케미칼 장기 목표가 170,000원 상향",haha****,1023,12,5
