날짜,제목,글쓴이,조회,공감,비공감
2022.03.21 20:10,"세종시 테마 = 세종공장 6만평
				[2]",cosm****,554,8,3
2022.03.21 18:32,"배당 얼마주나요?
				[1]",kwak****,599,4,0
2022.03.18 21:27,"주주총회...
				[6]",rlat****,1047,4,0
2022.03.17 17:50,"배당성향 레전드 ㅋㅋㅋㅋㅋ
				[7]",kdu1****,1210,9,1
2022.03.17 15:04,"OOO 경영진 회사
				[7]",erne****,722,10,1
2022.03.18 10:45,[삭제된 게시물의 답글]종목추천~,rozo****,119,0,0
2022.03.17 09:03,앞으로,rozo****,294,1,2
2022.03.16 12:26,"주총가서
				[7]",ahr1****,710,19,1
2022.03.16 09:11,"지금 매수하면 평단 상위 몇퍼인가요?
				[1]",shop****,673,2,2
2022.03.15 14:22,"분위기가 4만원 깨지겟네요
				[1]",even****,537,4,3
2022.03.15 15:24,분위기가 4만원 깨지겟네요,hiim****,255,1,0
2022.03.15 10:30,"주주가치
				[2]",cafe****,486,13,1
2022.03.15 10:05,그냥 조금씩 매수해보자~,yeon****,303,1,4
2022.03.14 23:06,"설마 4만원은 안깨지겠죠? 휴~
				[3]",kkoj****,564,4,1
2022.03.14 21:12,"4.5....
				[3]",rlat****,278,2,3
2022.03.14 12:16,"와 아주 미쳤네...
				[1]",yunb****,571,5,1
2022.03.13 17:51,"온라인 주총 반대표 행사 동의
				[6]",ilil****,749,27,0
2022.03.11 12:07,"50% 바겐세일!!
				[2]",bok1****,909,2,9
2022.03.10 12:30,"절대 주주친화적인 기업이 아닙니다.
				[3]",koon****,675,22,1
2022.03.10 10:37,"이미 시장에 신뢰를 잃어버린 회사
				[9]",erne****,1036,22,1
2022.03.08 13:29,주총때봅시다,shk2****,463,17,2
2022.03.08 11:23,"온라인 투표 반대표나 던집시다.
				[9]",shad****,762,29,0
2022.03.08 16:47,온라인 투표 반대표나 던집시다.,rael****,226,8,0
2022.03.10 18:28,온라인 투표 반대표나 던집시다.,skwi****,92,6,0
2022.03.07 09:12,"기사 내는 꼬라지
				[1]",erne****,518,7,0
2022.03.04 17:49,"대양제지 시설투자 공시뜸
				[4]",kebe****,1199,4,5
2022.03.04 11:50,"건자재 관련주 아니냐
				[9]",erne****,483,2,1
2022.03.03 15:42,"드디어 연기금 등장
				[9]",erne****,754,4,3
2022.03.03 13:06,영풍제지 입찰,saen****,405,4,1
2022.03.03 10:25,"VIP에 청원!!
				[1]",saen****,403,9,0
2022.02.28 10:04,"주주총회 안건
				[17]",erne****,1437,41,0
2022.02.28 08:29,"내년부터 공매도보다 더 위험한
				[6]",nota****,665,8,6
2022.02.26 11:10,"홀딩...
				[4]",jjs2****,758,5,5
2022.02.25 17:23,"주주환원 생각은 1도 안 하는것 같아 정...
				[7]",hooh****,788,12,1
2022.02.25 17:10,"아세아 그룹은 바뀌는데
				[2]",junw****,470,5,2
2022.02.25 16:33,"예상은 했지만
				[9]",erne****,718,20,2
2022.02.25 15:43,"목표가
				[1]",gy18****,314,1,1
2022.02.25 09:23,"주주환원이 있는 회사와 없는 회사의 차이...
				[9]",erne****,619,23,1
2022.02.23 10:04,"18년 이후 시장의 변화
				[5]",rpfl****,718,6,4
2022.02.22 13:41,"주주권리 바로잡기
				[1]",jocy****,371,5,1
2022.02.22 11:12,"4개년치 영업이익이
				[5]",erne****,783,18,1
2022.02.22 00:23,"이제 멈출때가 다 된거 아닌가?
				[1]",kkoj****,400,1,3
2022.02.21 18:31,"4.5...
				[10]",rlat****,470,3,2
2022.02.21 16:45,* 21년 vs 18년 영업이익,rpfl****,439,8,6
2022.02.21 16:30,"폐골판지 (OCC) 가격하락 및 재고증가
				[1]",rpfl****,444,5,6
2022.02.21 13:13,"이건 왜 안오르는거야
				[2]",junw****,471,0,5
2022.02.21 07:44,"악재들
				[3]",ange****,654,5,12
2022.02.20 20:01,"폐지줍는 주식에서 서로 싸우긴
				[2]",kebe****,321,4,5
2022.02.20 09:10,"매도 타이밍
				[2]",ange****,754,10,10
2022.02.19 09:12,"팩트폭격하러 왔습니다
				[3]",rlat****,738,6,7
2022.02.19 08:37,"개찬티들에게 고함
				[1]",ange****,567,5,6
2022.02.18 21:43,엄청난 실적이 기대된다,skyo****,324,5,4
2022.02.18 16:56,거래량 실화냐?,erne****,233,7,2
2022.02.18 11:27,10년 장투하면,cafe****,277,2,2
2022.02.18 07:50,"아세아제지는...
				[2]",rlat****,450,1,4
2022.02.17 15:35,"저평가주에 대한 투자의견
				[8]",yawn****,804,16,2
2022.02.17 14:58,"아 정말 열뻗치네
				[2]",erne****,321,9,1
2022.02.17 03:38,18년더. 보다. 적은.,2003****,396,1,0
2022.02.16 23:04,"거래량 없는...
				[2]",jjs2****,302,2,1
2022.02.16 14:01,"발바닥에
				[2]",epar****,400,3,0
2022.02.15 10:20,다른제지주 날라가는데 여긴 머함..,cbh1****,264,0,1
2022.02.14 20:49,유럽발 종이 대란,nall****,428,4,1
2022.02.14 11:37,장이 안좋을때,erne****,364,10,2
2022.02.11 21:16,폐지가격 떨어지고 있는데..,skyo****,696,3,3
2022.02.10 07:50,"한창제지    환산  per 8
				[1]",fanm****,629,6,6
2022.02.05 21:58,포장지 제지업계 ESG경영 양극화 심화,kkkk****,577,3,7
2022.02.04 12:46,좋아질 수 밖에 없다,skyo****,534,4,4
2022.02.03 17:38,지금 시점에서 나올 타이밍,chan****,573,13,0
2022.02.03 17:11,"아세아제지 좋게보고 재무재표도 좋아서 작...
				[1]",insa****,602,5,5
2022.02.03 13:45,"21년 골판지 수요 현황 (글로벌 vs ...
				[2]",rpfl****,670,8,3
2022.01.31 00:13,"거버넌스가 쓰레기인 기업 (feat.물적...
				[1]",maga****,703,6,1
2022.01.28 15:16,"역시 폐지주 답다
				[5]",erne****,1164,13,2
2022.01.28 13:27,"21년 실적 Review 및 22년 전망
				[6]",rpfl****,927,17,5
2022.01.28 10:12,"역시 다시 4만원 초반대까지 가는구나
				[1]",sima****,438,3,2
2022.01.27 22:48,"4분기 실적
				[4]",rpfl****,899,16,7
2022.01.27 17:46,추매...,jjs2****,291,2,1
2022.01.27 15:11,"펄프값 오른다 [12]
				[1]",ww89****,628,0,6
2022.01.27 14:33,코로나가 더욱 창궐하면 제지,qott****,290,2,3
2022.01.27 14:31,제지주 오른다는 OOO뀌,qott****,257,1,4
2022.01.27 14:02,"아세아 흡혈귀
				[3]",swol****,413,1,0
2022.01.27 13:46,"대피령발동.
				[1]",rlat****,298,1,0
2022.01.27 12:42,올해 오를까?,kebe****,293,10,2
2022.01.27 11:26,"성과금 100억이 뭔 소리?
				[4]",ange****,1002,10,4
2022.01.27 09:58,감사합니다 ㅜㅜ,skyo****,354,3,2
2022.01.27 09:55,회사 불났나요?,junw****,328,4,1
2022.01.27 09:43,"유진계좌는 누구계좌?
				[1]",erne****,491,2,1
2022.01.27 09:12,"와 바겐세일이다
				[2]",skyo****,418,1,4
2022.01.26 19:24,"이번에는 배당이나 자사주 매입하려나요?
				[2]",ilil****,500,2,1
2022.01.26 16:49,"4분기 영익 140억
				[3]",kebe****,786,0,0
2022.01.26 16:37,어닝쇼크?,joun****,474,0,0
2022.01.25 12:51,솔직히,pokt****,403,2,2
2022.01.25 12:46,"브레이크가 없네...
				[1]",kkoj****,420,2,1
2022.01.25 12:05,설마 5만 밑으로 떨어지나,skyo****,240,2,2
2022.01.24 17:55,추매혔다...,jjs2****,315,4,2
2022.01.24 14:13,"배당만 좀 잘줘봐
				[2]",j_im****,467,4,3
2022.01.24 09:37,"진짜 대단하다
				[1]",chan****,604,9,2
2022.01.20 15:06,"올라가려고 할때
				[1]",chan****,743,3,1
2022.01.19 15:59,"연기금 매수 중...
				[1]",kjy2****,714,9,1
2022.01.18 16:21,실적발표는 언제 하나요?,erne****,520,2,2
2022.01.14 16:35,다른,eros****,398,1,4
2022.01.12 12:37,"매수 완료...
				[1]",jjs2****,952,7,4
2022.01.12 09:32,얘는 일관성이 있네,erne****,581,8,2
2022.01.11 20:53,저평가다...,jjs2****,356,3,3
2022.01.11 11:09,오늘도 매집 중이다...,jjs2****,390,2,2
2022.01.10 06:24,[삭제된 게시물의 답글]박스가격인상협상 ...,cael****,557,3,4
2022.01.08 22:22,매집이 쉽지 않네...,jjs2****,414,1,2
2022.01.06 18:53,"54를 반대로하면...
				[2]",rlat****,688,3,5
2022.01.05 11:15,"10월 6일이후 기관 순매수수량
				[2]",zido****,890,10,4
2022.01.02 23:08,아세아제지 분석 및 12월 고위공직자 보...,suic****,817,1,14
