,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
80,2021/04/29,275000,5000,1.85,271000,282500,270500,1215321,337356233000,25428030100000,92465564
81,2021/04/30,270500,-4500,-1.64,277000,277500,270500,714238,194977722500,25011935062000,92465564
82,2021/05/03,255500,-15000,-5.55,271000,272000,254500,1122359,291569639500,23624951602000,92465564
83,2021/05/04,273500,18000,7.05,254000,274500,252000,1215923,323495309000,25289331754000,92465564
84,2021/05/06,281500,8000,2.93,271500,284000,271000,1180954,330870898500,26029056266000,92465564
85,2021/05/07,283500,2000,0.71,284000,291000,279000,970278,276386473500,26213987394000,92465564
86,2021/05/10,279000,-4500,-1.59,288000,290500,277000,1130140,320451890500,25797892356000,92465564
87,2021/05/11,269000,-10000,-3.58,275000,277000,267000,985139,266369721000,24873236716000,92465564
88,2021/05/12,266500,-2500,-0.93,269000,271500,260000,692535,183828810000,24642072806000,92465564
89,2021/05/13,258000,-8500,-3.19,263000,272000,256000,1187430,311482980500,23856115512000,92465564
90,2021/05/14,269000,11000,4.26,263000,272000,262500,883903,236701105500,24873236716000,92465564
91,2021/05/17,274000,5000,1.86,274000,279000,272000,909280,250697100500,25335564536000,92465564
92,2021/05/18,278000,4000,1.46,276000,281500,275500,694776,193549349500,25705426792000,92465564
93,2021/05/20,278000,0,0.0,281500,282500,272000,846509,234660495500,25705426792000,92465564
94,2021/05/21,280000,2000,0.72,282000,283500,272500,1174025,326249512000,25890357920000,92465564
95,2021/05/24,271500,-8500,-3.04,280500,281000,271000,884908,242177089500,25104400626000,92465564
96,2021/05/25,273500,2000,0.74,274500,274500,271000,471404,128508135000,25289331754000,92465564
97,2021/05/26,273500,0,0.0,273000,281000,272000,895744,247643659000,25289331754000,92465564
98,2021/05/27,277000,3500,1.28,277000,282500,273000,1967963,546628623374,25612961228000,92465564
99,2021/05/28,274000,-3000,-1.08,280000,280500,273000,689307,190214727500,25335564536000,92465564
100,2021/05/31,265000,-9000,-3.28,274000,274500,263000,1016832,270575991500,24503374460000,92465564
101,2021/06/01,264000,-1000,-0.38,264000,268500,262000,563379,149380425000,24410908896000,92465564
102,2021/06/02,267000,3000,1.14,265500,268500,263000,513622,136503451000,24688305588000,92465564
103,2021/06/03,272500,5500,2.06,267000,273500,266500,548823,148943378780,25196866190000,92465564
104,2021/06/04,273500,1000,0.37,270000,276500,269000,480480,131003011000,25289331754000,92465564
105,2021/06/07,274500,1000,0.37,276000,277500,273000,389934,107172727500,25381797318000,92465564
106,2021/06/08,270000,-4500,-1.64,274500,275000,269000,390498,105767296000,24965702280000,92465564
107,2021/06/09,274500,4500,1.67,270000,279000,269000,750903,206708933500,25381797318000,92465564
108,2021/06/10,269500,-5000,-1.82,275000,275000,267000,731448,197019608000,24919469498000,92465564
109,2021/06/11,274500,5000,1.86,271000,278500,270500,902419,248845619000,25381797318000,92465564
110,2021/06/14,277500,3000,1.09,275000,278000,272000,368117,101277269500,25659194010000,92465564
111,2021/06/15,288500,11000,3.96,279500,290000,278000,1426106,409339103000,26676315214000,92465564
112,2021/06/16,286000,-2500,-0.87,288500,291000,284500,656816,188729514000,26445151304000,92465564
113,2021/06/17,281500,-4500,-1.57,284500,287500,281000,637267,180307716500,26029056266000,92465564
114,2021/06/18,277000,-4500,-1.6,283000,283000,275500,790092,219571156500,25612961228000,92465564
115,2021/06/21,275500,-1500,-0.54,273000,276500,271000,555227,151896193000,25474262882000,92465564
116,2021/06/22,276000,500,0.18,278500,280000,275000,356983,98720051500,25520495664000,92465564
117,2021/06/23,284000,8000,2.9,277000,285000,275000,1017888,286889399000,26260220176000,92465564
118,2021/06/24,293500,9500,3.35,284500,302000,284000,2197069,650495797000,27138643034000,92465564
119,2021/06/25,290000,-3500,-1.19,297000,297500,288500,729986,213552684000,26815013560000,92465564
120,2021/06/28,284000,-6000,-2.07,289000,293000,284000,510724,146382622500,26260220176000,92465564
121,2021/06/29,282500,-1500,-0.53,286500,287000,281000,504415,142762043500,26121521830000,92465564
122,2021/06/30,295500,13000,4.6,283000,297500,283000,1309833,383417945500,27323574162000,92465564
123,2021/07/01,269500,-26000,-8.8,296500,299000,268000,5447042,1498912869100,24919469498000,92465564
124,2021/07/02,269500,0,0.0,266500,274500,264000,2054356,552738420500,24919469498000,92465564
125,2021/07/05,270500,1000,0.37,270500,274000,269500,766756,208292118500,25011935062000,92465564
