,Date,Title
183,2021-01-04 ,6 장사로 50퍼 먹고 나간다 ㅅㄱ
184,2021-01-04 ,4천만원 아리가또고자이마스
185,2021-01-04 ,금일 매동
186,2021-01-04 ,ㅈㄴ 든든하다
187,2021-01-04 ,본주도 털리고ㅎㅎ
188,2021-01-04 ,신주인수권 개털린 개미들 ㅋ
189,2021-01-04 ,유증확정가 얼마나 될까요
190,2021-01-04 ,유상증자 관련 질문
191,2021-01-04 ,포스코 그룹 미래먹거리는 포케 양극재 음극재 소재로
192,2021-01-04 ,유상청약 관련 질문 주린이
193,2021-01-04 ,신주권 발행으로 유상증자하면 하따 맞는거아니냐
194,2021-01-04 ,계산좀
195,2021-01-04 ,주린입니다 신고가 맞나요
196,2021-01-04 ,형님들 궁금합니다 꼭 알려주세여
197,2021-01-04 ,집 나간 똥강아지를 찾습니다
198,2021-01-04 , 20만원을 향해  순항중
199,2021-01-04 ,저는 왜 신주인수권 6인지 안 뜨죠
200,2021-01-04 ,30만 찍는다
202,2021-01-04 ,혹시 신주인수권 다들 얼마에 파셨나요 
203,2021-01-04 ,신주인수권 사두니 장투되니 좋다 ㅋㅋ
204,2021-01-04 ,2002년 월드컵 열기가 2020 증시로
205,2021-01-04 ,오늘 입성했습니다
206,2021-01-04 ,오늘 갑자기 신주권과 가격차가 벌어졌는디
208,2021-01-04 ,켁켁육공이를 찾습니다
209,2021-01-04 ,내일 급등 한다면 완전 자리 잡을수 있는 주가네요
210,2021-01-04 ,이제는 무리인 것 같아요
211,2021-01-04 ,우리 포케주주분들 새해 복 많이 받으세요
212,2021-01-04 ,맨날 고점이야기 지겹다
213,2021-01-04 ,포케 주주분들
214,2021-01-04 ,장투주린먹이사슬 정점에 포케가
215,2021-01-04 ,신주인수권  40 상승
216,2021-01-04 ,포스코케미칼6
217,2021-01-04 ,포스코케미칼 6
218,2021-01-04 ,삭제된 게시물의 답글포스코케미칼6 들어와있던데 예수금 넣어두면 알아서 신주 사지는건가요
219,2021-01-04 ,주주방 별거 없습니다
220,2021-01-04 ,삭제된 게시물의 답글1월 8일까지는 13만원 안쪽에서 놀듯
221,2021-01-04 ,삭제된 게시물의 답글1월 8일까지는 12만원 안쪽에서 놀듯
222,2021-01-04 ,자산가치주로 등극 예상
223,2021-01-04 ,삭제된 게시물의 답글오늘 매수한 사람인데요
224,2021-01-04 ,오늘 포케 시총 7조 1천9백66억 실화인겨
225,2021-01-04 ,공시 하나 떴네요
226,2021-01-04 ,이미 몇년후의 이익과 성장이 주가에 선반영
227,2021-01-04 ,공지 포케 총사령관이다
228,2021-01-04 ,유상증자 문의
229,2021-01-04 ,말기암환자로 췌장암을 비롯해 수술없이 5가지 암 완전관해 
230,2021-01-04 ,시총 11조원이면 30위권
231,2021-01-04 ,유상증자 확정발행가액
232,2021-01-04 ,삼성 배터리 글로벌 톱5 싹쓸이
233,2021-01-04 ,오세훈 서울시장 출마 ㅋㅋ 결심 
234,2021-01-04 ,유증가 1차가액보다 높아질수 있습니다
235,2021-01-04 ,결론은
236,2021-01-04 ,신주인수권 권리행사
237,2021-01-05 ,오늘 장 어떨거같음
238,2021-01-05 ,주린이라죄송합니다유증
239,2021-01-05 ,삭제된 게시물의 답글대폭락 미국
240,2021-01-05 ,갈놈은 간다
241,2021-01-05 ,전고체는 전해질을 고체화하는 것
242,2021-01-05 ,전고체로 매도를 유도하려던 견자들
243,2021-01-05 ,삭제된 게시물의 답글부탁합니다
244,2021-01-05 ,전기차 관련주식어떤거 있나요
245,2021-01-05 ,오세훈 서울시장 출마결심 
246,2021-01-05 ,유상청약 관련 질문 드려요 주린이 
247,2021-01-05 ,신주권오늘까지밖에못사요
249,2021-01-05 ,포스코 케미칼 가치주되었군요
250,2021-01-05 ,ㄷㄷ 오늘도 불기둥
251,2021-01-05 ,20만 가즈아 
252,2021-01-05 ,7퍼 상승중 
253,2021-01-05 ,오늘 얼마 까지 봄
254,2021-01-05 ,관성의 법칙
255,2021-01-05 ,신주권아직도싸다
256,2021-01-05 ,포스코 너무 올랐네요
257,2021-01-05 , 6만9천원까지갔다가 지금은 천국을맛보는중이다
258,2021-01-05 ,유상청약에 관한 질문
259,2021-01-05 ,튀어라
260,2021-01-05 ,털린사람없죠
261,2021-01-05 ,천원띄기만 몇번째고 ㅋㅋㅋㅋㅋㅋ
262,2021-01-05 ,포스코도 쭉쭉오르고 케미칼도 쭉쭉오르고 ㅋㅋ
263,2021-01-05 ,변동성 변수에 관해 주린이 질문드립니다
264,2021-01-05 ,가성비 신주인수권
265,2021-01-05 ,이제 허매도를 못 넣네요
266,2021-01-05 ,제발 123000원 마감
267,2021-01-05 ,신주권 5만원넘고 못사지말고
268,2021-01-05 ,아침 신주인수권 300 추매
269,2021-01-05 ,차트 다 망가짐 ㅋㅋ
270,2021-01-05 ,연기금 31000주 매수 중
271,2021-01-05 ,목표가 30만언
272,2021-01-05 ,유증 언제끝나나용
273,2021-01-05 ,12만원에 불탈라고 하는데 괜찮을까요 
275,2021-01-05 ,신주구 매수 후 1314일에 청약을 꼭해야 되는건가요
276,2021-01-05 ,포케주주 개미행님들 궁금한게 있습니다
277,2021-01-05 ,불과2달전만해도
278,2021-01-05 ,아 118500에 털림
279,2021-01-05 ,이거 적정주가 169000원임
280,2021-01-05 ,역쉬 대장주의 위엄
281,2021-01-05 ,포스코케미칼   발동
282,2021-01-05 ,곧 점심시간인데 치고올라가버리네
283,2021-01-05 ,포케는 조정도 없네
284,2021-01-05 ,신주인수권 28000원
285,2021-01-05 ,이거 두주만 샀는데 가고 있네요
286,2021-01-05 ,평단 49000
287,2021-01-05 ,존경스런 개미군단
288,2021-01-05 ,어제 종목상담에서 문0진이 팔라고 했는데
289,2021-01-05 ,연기금 매수 오만주 
290,2021-01-05 ,어떻게할까요
291,2021-01-05 ,공급계약 언제뜨려나요
292,2021-01-05 ,2월에  편입 예측해봅니다
294,2021-01-05 ,호재
295,2021-01-05 ,목표가20만원
296,2021-01-05 ,양날에 검
297,2021-01-05 ,전기차시대
299,2021-01-05 ,포스코 케미칼
300,2021-01-05 , 하하 이번엔 안털림
301,2021-01-05 ,포코는 왜 맨날 오르나요
302,2021-01-05 ,지금이라도 들어가도 될까요
303,2021-01-05 ,잘한건가 궁금
304,2021-01-05 ,포스코케미칼 적정주가와 근거
305,2021-01-05 ,포스코케미칼6 을 마구 매수하는 사람들
306,2021-01-05 ,코스피막판 외기 순매도확줄임
307,2021-01-05 ,신주인수권 매도 마감 3분전
308,2021-01-05 ,고민고민 하다가
309,2021-01-05 ,올해 가장 잘한일
311,2021-01-05 ,야  개미들  승리네  ㅋ
312,2021-01-05 ,주린이도 아닌데 떨리네요ㅋ
314,2021-01-05 ,삭제된 게시물의 답글장투전사  잔돈에 투항
315,2021-01-05 ,따쉬 총사령관님 불호령떨어질듯
316,2021-01-05 ,개미들 신주권도 125만주 털림ㅋ
317,2021-01-05 ,아 미쳤네
318,2021-01-05 ,미안
319,2021-01-05 ,그거 아슈 개미도 개미돈 따서
320,2021-01-05 ,미챠 신주인수권추가
321,2021-01-05 ,장투주린신주인수자금마련
322,2021-01-05 ,청약가 관련 정중히 여쭈어 봅니다  주가가 올라 기쁘긴 합니다
323,2021-01-05 ,지수가
324,2021-01-05 ,삭제된 게시물의 답글드뎌 너 뛰어내리냐
325,2021-01-05 ,안티들 재잘거리니 주가는 반대로가네
326,2021-01-05 ,9만원대 입벌리고 계신다는 분들
